epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2412.1,0.84189,0.66452,1.1802,0.9533,0.93877,0.97,0.74929,0.9199,0.46024,1.26205,0.000191894,0.000191894,0.000191894
43,2467.64,0.83027,0.63751,1.15451,0.95495,0.94952,0.98046,0.75705,0.90676,0.44216,1.24353,0.000188697,0.000188697,0.000188697
44,2523.57,0.82313,0.59646,1.15303,0.95973,0.94517,0.96962,0.74959,0.90255,0.44805,1.26761,0.000185499,0.000185499,0.000185499
45,2580.48,0.84652,0.6468,1.16448,0.93209,0.96038,0.97854,0.76191,0.90326,0.44001,1.24123,0.000182301,0.000182301,0.000182301
46,2641.87,0.81732,0.61549,1.15499,0.95201,0.94383,0.97405,0.76967,0.88633,0.44741,1.24624,0.000179103,0.000179103,0.000179103
47,2696.94,0.83238,0.61335,1.18114,0.94592,0.95846,0.9783,0.75752,0.91232,0.44629,1.2613,0.000175906,0.000175906,0.000175906
48,2752.32,0.81719,0.62719,1.16504,0.9533,0.94758,0.97728,0.75357,0.92799,0.43769,1.27057,0.000172708,0.000172708,0.000172708
49,2808.74,0.78621,0.57097,1.12748,0.94109,0.95163,0.98594,0.76455,0.90811,0.41585,1.24555,0.00016951,0.00016951,0.00016951
50,2865.19,0.78776,0.60684,1.138,0.9613,0.95623,0.98142,0.77533,0.88775,0.41085,1.23078,0.000166313,0.000166313,0.000166313
51,2920.66,0.78976,0.59244,1.13484,0.95088,0.96738,0.98215,0.76849,0.90334,0.4164,1.25834,0.000163115,0.000163115,0.000163115
52,2975.95,0.76604,0.57775,1.11292,0.97155,0.97565,0.98578,0.77681,0.88877,0.39781,1.25302,0.000159917,0.000159917,0.000159917
53,3036.99,0.78534,0.57081,1.12913,0.9496,0.95142,0.97882,0.75665,0.91705,0.43623,1.27111,0.00015672,0.00015672,0.00015672
54,3092.72,0.78687,0.581,1.1356,0.95395,0.9556,0.98361,0.75551,0.9176,0.40159,1.28088,0.000153522,0.000153522,0.000153522
55,3149.71,0.76684,0.59018,1.12487,0.94376,0.94867,0.97991,0.7587,0.91792,0.4176,1.26068,0.000150324,0.000150324,0.000150324
56,3204.32,0.75497,0.53709,1.11037,0.95251,0.95584,0.98174,0.75502,0.92175,0.40755,1.27519,0.000147126,0.000147126,0.000147126
57,3258.8,0.75668,0.52672,1.12508,0.94481,0.93934,0.96695,0.74812,0.89986,0.42606,1.24963,0.000143929,0.000143929,0.000143929
58,3313.5,0.75993,0.53858,1.10704,0.97207,0.95916,0.98627,0.75439,0.92588,0.39396,1.26901,0.000140731,0.000140731,0.000140731
59,3368.15,0.74171,0.53243,1.10354,0.94767,0.9716,0.98491,0.76672,0.9225,0.38268,1.26824,0.000137533,0.000137533,0.000137533
60,3423.74,0.71619,0.48796,1.09661,0.93833,0.9625,0.97144,0.75174,0.92943,0.40741,1.28222,0.000134336,0.000134336,0.000134336
61,3478.75,0.71011,0.51047,1.09124,0.94184,0.96037,0.9718,0.75733,0.90425,0.4028,1.26449,0.000131138,0.000131138,0.000131138
62,3534.82,0.72363,0.50374,1.09394,0.93948,0.94776,0.97735,0.7605,0.91623,0.40554,1.26008,0.00012794,0.00012794,0.00012794
63,3591.34,0.71893,0.50573,1.09624,0.95174,0.96247,0.97869,0.75872,0.9067,0.39216,1.26209,0.000124743,0.000124743,0.000124743
64,3646.03,0.70406,0.50877,1.09437,0.96046,0.95618,0.98715,0.77197,0.89309,0.37347,1.23796,0.000121545,0.000121545,0.000121545
65,3701.81,0.71585,0.50588,1.09044,0.9496,0.9642,0.98195,0.76921,0.90401,0.38068,1.24567,0.000118347,0.000118347,0.000118347
